Album;annoAlbum;titoloCanzone;Secondi;testoCanzone;significatoTesto
Colpa delle favole;2019;Colpa delle favole;184;È colpa delle favole se tu non sei più con me Se cammino per la strada quando una strada poi non c’è Se non riesco ad esser grande E mi innamoro in un privé Perché mi illudo che la gente sia di più di quel che è È colpa delle favole se sorrido senza un senso Se guardando il cielo vedo una faccia e poi ti penso E non è colpa miaCome dici tu E se di notte sogno poco di giorno sognerò di più È colpa delle cose che ho rimandato sempre Per fare un po’ il buffone che poi il buffone a che mi serveIo vorrei solo esser stato un po’ meno assenteistaPer guardarti dentro agli occhi dirti amore adesso resta Perché è colpa delle favole se la mia vita adesso è questa È colpa delle regole io non le ho mai indossate E ho vissuto con il peso di maestre e poi psicologi Dicevano su cerca di non essere sbadato Che la vita poi non torna e se ti perdi sei fregato È colpa delle notti dove la calma in me non c’era E per averti avevo i sogni e almeno lì sembravi vera E non è colpa mia come dici tue se di notte sogno poco di giorno sognerò di più È colpa della musica che mi ha reso troppo astratto Sono un raggio che dal sole non si lancia e resta al caldo E rispondo alle paure che io non sono in questo corpoAmore non è colpa della pioggia o delle nuvoleSe parlo poco sappi è solo colpa delle favole È colpa delle notti dove la calma in me non c’era E per averti avevo i sogni e almeno lì sembravi vera E non è colpa mia come dici tue se di notte sogno poco di giorno sognerò di più È colpa della musica che mi ha reso troppo astratto Sono un raggio che dal sole non si lancia e resta al caldo E rispondo alle paure che io non sono in questo corpo Amore non è colpa della pioggia o delle nuvoleSe parlo poco sappi è solo colpa delle favole;Colpa delle Favole è la traccia che apre l’album, una vera e propria dichiarazione in cui Ultimo ammette che è proprio colpa delle favole se è diventato ciò che adesso è. La title track, con grande carica ma anche fragilità, racconta come i sogni abbiano portato un cambiamento nell’esistenza di Ultimo.
Colpa delle favole;2019;I tuoi Particolari;219; È da tempo che non sento più la tua voce al mattino che grida bu e mi faceva svegliare nervoso ma adesso invece mi sveglio e sento che mi mancan tutti quei tuoi particolari quando dicevi a me sei sempre stanco perché tu non hai orari È da tempo che cucino e metto sempre un piatto in più per te sono rimasto quello chiuso in se che quando piove ride per nascondere mi mancan tutti quei tuoi particolariquando dicevi a me ti senti solo perché non sei come appari Oh, fa male dirtelo adesso ma non so più cosa sento se solamente Dio inventasse delle nuove parole potrei dirti che siamo soltanto bagagli viaggiamo in ordini sparsi se solamente Dio inventasse delle nuove parolepotrei scrivere per te nuove canzoni d’amore e cantartele qui È da tempo che cammino e sento sempre rumori dietro me poi mi giro pensando che ci sei te e mi accorgo che oltre a me non so che c’è mi mancan tutti quei tuoi particolari quando dicevi a me sei sempre stanco perché tu non hai orari Oh, fa male dirtelo adesso ma non so più cosa sento se solamente Dio inventasse delle nuove parole potrei dirti che siamo soltanto bagagli viaggiamo in ordini sparsi se solamente Dio inventasse delle nuove parole potrei scrivere per te nuove canzoni d’amore e cantartele qui fra i miei e i tuoi particolari potrei cantartele qui se solamente Dio inventasse delle nuove parole potrei dirti che siamo soltanto bagagli viaggiamo in ordini sparsi se solamente Dio inventasse delle nuove parole potrei scrivere per te nuove canzoni d’amore e cantartele qui ;Nel brano Ultimo racconta le piccole cose, i gesti e i dettagli nascosti di una relazione che diventano molto presenti nei ricordi, e si rivelano, nella loro importanza, quando non ci sono più. Le strofe incisive cantano l’assenza, i contorni di una storia finita e ciò che sembra un particolare minore è proprio quello di cui si sente più forte la mancanza
Colpa delle favole;2019;Quando fuori piove;221; Colpa delle favole mi hanno sempre illuso un po quando fuori piove perché il mondo mi ha deluso un po’ Colpa della musica mi ha reso gli occhi amari un po’ guardo fuori il sole e mi chiudo in un respiro Sai mi chiedo troppo spesso dove va a finire un fiore quando corri dentro a un prato e non ti servono parole MI CHIEDEVO TU COME STAI È UN PO’ CHE NON TI SENTO ORMAI VORREI PORTARTI AL MARE MA NON HO PIU’ BELLE PAROLE PERCHÉ IL TEMPO HA PRESO TUTTO E HA PRESO ANCHE IL NOSTRO AMORE VORREI PARLARTI COME PRIMA CON LA STESSA INTENSITÀ MA QUANDO VIVI TROPPO INSIEME POI QUALCOSA SE NE VA E NON MI SENTO MAI ALL’ALTEZZA, DI STARE CON TE È colpa della vita che mi ha steso in questo posto senza avermi chiesto prima almeno un tipico permesso E non ci riesco mai a far finta che poi vada bene tu dici te ne pentirai Sai mi chiedo troppo spesso dove va a finire un fiore quando corri dentro a un prato e non ti servono parole MI CHIEDEVO TU COME STAI È UN PO’ CHE NON TI SENTO ORMAI VORREI PORTARTI AL MARE MA NON HO PIU BELLE PAROLE PERCHÉ IL TEMPO HA PRESO TUTTO E HA PRESO ANCHE IL NOSTRO AMORE VORREI PARLARTI COME PRIMA CON LA STESSA INTENSITÀ MA QUANDO VIVI TROPPO INSIEME POI QUALCOSA SE NE VA IO MI SENTO MAI ALL’ALTEZZA, DI STARE CON TE DI STARE CON TE DI STARE CON TE;Quando Fuori Piove è un brano è pervaso da un sound molto simile a quello delle canzoni contenute nell’album precedente,Peter Pan. La scrissi durante gli instore di quell’album ricorda Ultimo qui torna il tema centrale delle favole, delle illusioni che possono portare risvolti negativi all’interno delle relazioni
Colpa delle favole;2019;Ipocondria;181; Mi sono chiesto spesso che cosa fosse il tempo se in fondo quando ti amo il mondo non lo sento Mi sono chiesto spesso tra una sigaretta e l’altra quale fosse la ragioneperché tu fossi così bugiarda Infondo ho dato tutto ma questa è anche colpa mia è che mi piaci perché curi questa bastarda ipocondria E ho capito che il mondo lo vivo così con la faccia distrutta quando è lunedì e ho capito che infondo va bene così anche se siamo distanti a me va bene anche distanti a me va bene anche distanti tanto ti porto con me Sì lo so lo dici spesso M’ha cambiato ‘sto successo è che quelli come me buttano l’oro dentro al cesso Non gli danno mai importanza e poi si senton sempre soli hanno il ghiaccio dentro al cuore e hanno i fiori nei polmoni Ma infondo ho dato tutto ma questa è anche colpa mia è che mi piaci perché curi questa bastarda ipocondria E ho capito che il mondo lo vivo così con la faccia distrutta quando è lunedì e ho capito che infondo va bene così anche se siamo distanti a me va bene anche distanti a me va bene anche distanti tanto ti porto con me a me va bene anche distanti a me va bene anche distanti a me va bene anche distanti tanto ti porto con me a me va bene anche distanti a me va bene anche distanti tanto ti porto con me a me va bene anche distanti a me va bene anche distanti a me va bene anche distanti tanto ti porto con me; L’ipocondria di Ultimo è curata dall’amore, un amore che può essere anche distante ma rimane sempre presente e vicino nel cuore. Nel momento in cui due cerchi si sovrappongono non hanno nulla piu da condividere, se non lo spazio che li accomuna dice Ultimo descrivendo il brano.
Colpa delle favole;2019;Fateme canta;251;Che giornata, che giornata So distrutto, eh, so distrutto Cameriè portame er vino Fateme cantà Che non c'ho voglia de sta con sta gente Che me parla Ma non dice niente, eh Fateme cantà Che me ne sento anche un po' innervosito Da sta gente che me chiede na foto Io vorrei parlaje de loro, oh oh oh Fateme cantà Sto a impazzì appresso a troppe esigenze C'ho bisogno all'appello De dì che so assente E, e fateme cantà Pe l'amici che ho lasciato ar parcheggio Io che quasi me ce sento in colpa De ave' avuto sto sporco successo Che amico sul palco e t'ammazza nel resto, oh oh Fateme cantà Nun so bono a inventamme i discorsi Sbaglio i modi I toni, anche i tempi Parlo piano manco me sentiresti, eh Fateme cantà Che a ste cene co questi in cravatta Parlo a gesti, nun so la loro lingua, eh Eh, fateme cantà Per quel tizio che non c'ha più er nome Sta per strada, elemosina un core Pe' quel padre che se strigne l'occhi Davanti a suo figlio pe' proteggeje i sogni, oh Fateme cantà Pe' sti gatti che aspettano svegli Un motore pe' starsene caldi Pe' i ricordi che me spezzano er sonno E a letto me fanno girà come un matto Un matto, un matto;
Colpa delle favole;2019;Rondini al guinzaglio;240;Portami a sentire le onde del mare portami vicino le cose lontane portami dovunque basta che ci sia posto per una birra e qualche vecchio rimpianto E portami a sentire il rumore del vento che tanto torneresti in qualsiasi momento portami dovunque basta che ci sia posto per un sorriso e qualche vecchio rimpianto dove vuoi, non dove sai dove esisti e non ci sei Portami con te portami con te dove tutto si trasforma dove il mondo non mi tocca e portami con te portami con te dov’è leggero il mio bagaglio dove mi ami anche se sbaglio dove vola e si ribella ogni rondine al guinzaglio E portami al sicuro ma senza parlare e lascia che lo faccia il tuo modo di fare portami di corsa in un ponte lì in alto che unisce il tuo dolore al tuo solito incanto E portami ti prego dove preferisci dove se metti piede in un attimo esisti perché non c’è risposta alle cose passate tu portami ad amare le cose mai amate e dove vuoi, non dove sai dove esisti e non ci sei tu portami con te portami con te dove tutto si trasforma dove il mondo non mi tocca e portami con te tu portami con te dov’è leggero il mio bagaglio dove mi ami anche se sbaglio dove vola e si ribella ogni rondine al guinzaglio dove il cielo si muove se lo guardi attentamente dove piove ma tu esci per bagnare la mente perché se la vita è nostra non ci ostacola niente dove al posto dei piedi hai due pagine vuote e ogni passo che compi loro scritturano note dove il sole è un’ipotesi e tu puoi solo pensarlo ma ti basta perché ti riempi di idee per nutrirlo quando sarà primavera tu portami con te portami con te dove tutto si trasforma dove il mondo non mi tocca e portami con te tu portami con te dov’è leggero il mio bagaglio dove mi ami anche se sbaglio dove vola e si ribella ogni rondine al guinzaglio ; Il testo di Rondini al guinzaglio esprime il desiderio di essere portati altrove, dove è possibile essere amati ed essere liberi, anche se poi si sbaglia, senza alcun giudizio da parte del mondo esterno. È meglio che gli ideali restino tali, come i sogni, che se diventano realtà cambiano colore.
Colpa delle favole;2019;Amati sempre;244;Sai che forse è vero in queste sere ci pensavo sono sempre più sbadato e in testa aumenta il desiderio di sentirmi più lontano ma lontano sai non ci riesco a stare E sai che infondo è vero l’amore va solo immaginato è un passo ancora non compiuto ed è non farlo sai il segreto ma se tutto resta dentro poi la vita sai ti chiede il conto E poi mi sembra un po’ strano il mondo è un gioco alla mano E prenditi qualcosa, faccia pure signorina dai permettimi di farlo, sono il solito cretino ma con la faccia da bugiardo e con il cuore di un bambino sai sogno spesso di toccarti ma poi mi sveglio nel cuscino E portati con te tutte le cose, non guardarmi con quegli occhi sempre vivi nei miei testi che mi lanciano i ricordi ancora adesso mi fa male ma tu amati sempre Ti sento nelle frasi della gente che cammina, mentre parla d’argomenti a cui forse non credeva prima quando cerco di cambiare in poche ore la mia vita la mattina ti prego amati sempre ricorda amati sempre E passami la vita tra le mani come se passassi il sale come se volessi il cuore e il cuore per averlo sai basta avercene un altro dentro E poi mi sembra un po’ strano il mondo è un gioco alla mano E allora via da questo cielo che contiene i suoi pianeti quelli che ho cantato forte quando volevo ma non c’eri e lascia che poi il nostro tempo non cammini sempre a tempo tanto più pensi a un desiderio, più lui si trasforma in vento E la gente ci guardava come fossimo due alieni ed io che sono abituato a smascherare i miei segreti le confesso che non guardo mai i suoi occhi da vicino perché poi ci casco dentro e non mi accorgo che respiro e spegni tu la luce che io non mi reggo in piedi poi la spegni e vedo poco ma tutto è dentro le mie mani non ti vedo ma ti sento e il letto è diventato mare ti avvicini e non so stare a te vicino senza amare amati sempre ti prego amati sempre  ti prego amati sempre Ricorda: amati sempre ;Amati Sempre è la ballata del disco, la canzone più intima.
Colpa delle favole;2019;Quella casa che avevamo in mente;204; Resto ma non riesco parlo di qualcosa ma non parlo e contraddico tutto ciò che tocco il mondo è un posto grande ma non troppo Che tanto poi mi basta solo un secondo e come nulla fosse ci ritorno in quel posto tanto atteso quanto quanto una parola se non parlo E ti vorrei, ti vorrei, ti vorrei, ti vorrei ma ti prego com’eri prima con la faccia da bambina E ti vorrei, ti vorrei, ti vorrei, ti vorrei ma ti prego com’era prima con la faccia di chi sta in fila e distratto aspetta il turno pensando che poi tanto arriva Tu occupavi un posto troppo grande e certo adesso è strano non parlarne di quella casa che avevamo in mente lontano dalla strada in mezzo al verde Ti ricordi avevi sempre freddo e anche io ma non te l’ho mai ammesso perché la nostra storia è in queste cose in ciò che non si dice ma rimane Ti vorrei, ti vorrei, ti vorrei, ti vorrei ma ti prego com’eri prima con la faccia da bambina Ti vorrei, ti vorrei, ti vorrei, ti vorrei ma ti prego com’era prima con la faccia di chi sta in fila e distratto aspetta il turno pensando che poi tanto arriva ; Ultimo descrive la nostalgia e i rimpianti per alcune scelte passate e dettaglia nel ritornello il suo desiderio Ti vorrei con la voglia di parlare, non con la faccia di chi ha già parlato, con la voglia di mostrarsi. Rivivere un amore in modo semplice
Colpa delle favole;2019;Piccola stella;232;Hai da sempre compreso la mia fantasia l’hai accesa, poi spenta, poi sei andata via sei tornata più forte con un sasso nel cuore hai preso il mio giorno e lo hai reso migliore e ora scrivo qui in fretta per dirtelo ancora che sei forte, fragile senza paura tu resta la stessa, la stessa di sempre Sei la cosa più bella che indosso sei risorsa, sei il cielo e sei il mondo sei la strada che porta alla vita donna instabile, sei la mia sfida sei la piccola stella che porto nei momenti in cui non ho luce sei la piccola stella che porto nei momenti in cui non ho luce Hai da sempre compreso la mia nostalgia dei giorni ormai persi ed ormai andati via questo tempo trascorso non è mai abbastanza te che dei miei occhi ne sei la sostanza comunque poi adesso che ti ho davanti prometto di restarti accanto per sempre per sempre per sempre Sei la cosa più bella che indosso sei risorsa, sei il cielo e sei il mondo sei la strada che porta alla vita donna instabile, sei la mia sfida sei la piccola stella che porto nei momenti in cui non ho luce sei la piccola stella che porto nei momenti in cui non ho luceSei l’immenso di un attimo andato del mio sogno la parte migliore sei quel vento che soffia da sempre ma che riesce a non farmi cadere sei la piccola stella che porto nei momenti in cui non ho luce sei la piccola stella che porto nei momenti in cui non ho luce sei la piccola stella che porto nei momenti in cui non ho luce sei la piccola stella che porto nei momenti in cui non ho luce;Piccola Stella è la prima canzone che Ultimo ha scritto, quando aveva 14 anni. Si distanzia dalle altre, avrebbe voluto inserirla anche nei precedenti album, ma sentiva che questo era quello giusto.
Colpa delle favole;2019;Aperitivo grezzo;203;Aperitivo grezzo Dai fai alle cinque al parcheggio 2 3 4 del capo infondo lo sai che li prendo c’è Giammarchino che sorride c’ha l’occhio un po’ spento con Leo vicino che non parla ma c’ha il mondo dentro ricordo che eravamo pochi ma sempre felici il paradosso è che all’aereo sai preferivo la bici quando mi trovo in situazioni con gente in cravatta mi sento a disagio mentre parlano della vacanza fatta coi figli che frequentano la scuola migliore con quel sorriso di chi pensa d’avere ragione io che cantavo nel parcheggio con Adriano e Alessandro per me l’arte nasce in strada e diventa poi altro Vorrei svegliarmi presto la mattina e ritrovare tutto com’era prima invece adesso sai mi sveglio e mi sento incostante non so ancora che strada prendere invece adesso non ho tempo e mi sento distante da quello che volevo essere Aperitivo grezzo e poi ritornavo per cena ma non mangiavo e la saltavo come una preghiera con mamma che diceva    nicco che faccia che hai messo   io che in silenzio dicevo    scusa me ne vado a letto   Non dirmi come devo fare non darmi consigli non fare commenti non fare morale sto giù di morale la mia vita uguale senza i tuoi commenti è pieno di artisti che scrivono dischi si sentono tristi ma sono affaristi io sono cresciuto con Blasco in macchina in 7 a pompare i suoi dischi eh oh, guarda che dici sono cambiato? non penso ho gli stessi amici e non mi fido del resto io mando avanti soltanto la parte senza emozioni perché tra bestie vinci se il tuo pianto lo riponi ho una scorta di giornate che uso quando sono in basso perché vivere scrivendo è come uscire da un collasso non riesci cadi a pezzi seduto tra i miei complessi mi appoggio sui miei dubbi tanto son sempre gli stessi e non importa quanto sudi ma conta quello che dici posso urlare col sorriso e ci sei tu tra gli obiettivi tu che hai avuto la fortuna e adesso predichi e rimproveri ma è facile esser grande riempito d’oro tra i più poveri Vorrei svegliarmi presto la mattina e ritrovare tutto com’era prima invece adesso sai mi sveglio e mi sento incostante non so ancora che strada prendere invece adesso non ho tempo e mi sento distante da quello che volevo essere ;Ottobre 2017. Un mese di aperitivi grezzi con gli amici al bar.    Volevo ricordare quel periodo  , un momento in cui Ultimo si sentiva in equilibrio e sicuro, protetto dall’affetto delle persone più care.
Colpa delle favole;2019;Fermo;160;So che non dovresti sentirti distrutta fa male vederti rassegnata e sconfitta il rischio era questo, vederci annientati dal tempo e dai sogni che tanto volevi Io non ho principi non ho religioni a volte mi pento ma non cerco ragioni le storie hanno un senso finché non ti siedi ed occhi negli occhi ti guardi e non vedi Voglio starmene fermo. Fermo. Ti prego lasciami fermo. Fermo. Come il cielo che è fermo Fermo. Non hai sentimenti, mi accusi di questo ma io non sono quello che scrivo in un testo la musica esce ma non mi descrive io creo una canzone ma lei è vita che vive Non siamo più sogno e nemmeno passione ci siamo poggiati come sul prato le rose io ne esco sconfitto e fa niente per questo ho solo bisogno di starmene fermo. Fermo. Ti prego lasciami fermo. Fermo. Ti prego lasciami fermo. Fermo. Ti prego lasciami fermo. Fermo. Come il cielo che è fermo Fermo.;Fermo è una canzone che traghetta verso la fine del disco, la fine anche delle storie dove ci si guarda negli occhi e non ci si vede più. La voglia di immobilità, di non muoversi: il sogno è finito, la sconfitta brucia e il desiderio è quello di non essere più scosso, rimanere fermo
Colpa delle favole;2019;Il tuo nome;181;Nelle cose che non trovo ma che ritroverò sulle porte che ho già chiuso ma per te riaprirò negli accordi che non suono ma per te suonerò nelle strade con te fatte e che non faccio da un po’ Tra i rifugi in cui posavo le certezze che ho In quei sorrisi che indossavi e che non vedo da un po’ nei momenti in cui chiedevo e tu dicevi di no ho trovato un foglio bianco e tu puoi crederci o no Ohhh ma io c’ho scritto il tuo nome Ohhh io c’ho scritto il tuo nome C’ho scritto il tuo nome Tra le volte in cui sbagliavo ed io sbagliavo lo so che è sbagliando che ti ho persa e so che risbaglierò mi hai sempre detto non puoi avere mica tutto però mi hanno dato il mondo in mano e tu puoi crederci o no Ohhh ma io c’ho scritto il tuo nome Ohhh io c’ho scritto il tuo nome Io c’ho scritto il tuo nome C’ho scritto il tuo nome Io c’ho scritto il tuo nome ;Ripeto quasi sempre la stessa frase, eppure è una delle canzoni che mi emoziona di più così Ultimo sintetizza il senso di una canzone dove    Il tuo nome   diventa un segno importante, un appello che aiuti a cancellare gli errori commessi
Colpa delle favole;2019;La stazione dei ricordi;250;Ho il cuore che mi vola e sentiti leggera ho colpito a duro muso la vita e lo faccio da una vita intera non mi sento mai adatto, questi contesti indifferenti rido, guardo i miei difetti come fossero perfetti Avessi gli occhi di mio padre proverei a ragionare ma sono nato con la voglia di strafare e col bisogno di volare dicesti chiudi gli occhi, non pensarci ma quelli come me chiudono gli occhi solo per allontanarsi. Allontanarsi da che cosa, che qui è sempre la stessa storia ti viene voglia di cambiare e cambia chi non c’è più ora ricordo notti in un parcheggio, birre vuote sul cruscotto parlavamo sì, ma senza aver mai pagato un conto Noi siamo quelli senza scuse col passato in fiamme quelli che parlano con tutti ma non è niente di importante che le cose belle stanno dentro e meritano stelle siamo tutti Giusy cambia soltanto dentro a quale pelle Potrei cantare per cent’anni e direi le stesse cose e non è monotonia è il mio rifugio personale non chiedermi niente questa sera si sta bene porta un po’ dei tuoi ricordi e dopo mescolali insieme Vorrei parlare anche di lei ma senza esagerare che il cielo lì ci osserva e noi formiche in pasto a un mondo cane poi ti bastan due occhi azzurri e ritorna tutto ritorna il cuore, al suo posto dove c’è calore Avevo voglia di cantare ma solo ciò che avevo dentro sento, che tanto più mi sento vuoto e tanto più mi riempio dentro ricordo lì in terrazza 5° piano sopra tutti, passare notti dentro stanze in cui non vedi bene tutti e con la mano e con la mano e con la mano sposti il fumo che ti bruci gli occhi sentirsi ultimi ma sorridere che è passato pure oggi Mamma, mamma, mamma ti ho deluso tante volte e non è vittimismo, ti ho vista piangere e maledico il giorno in cui non mi hai più visto quando tornavi dal lavoro e c’era quel silenzio i professori che ti urlavano suo figlio è marcio dentro   ma che ne sanno loro, che ne sanno tutti io la mia vita l’ho vissuta solo attraverso i miei gusti e pagherò un conto tra dieci anni o forse anche domani ma vince chi si sveglia, vive, muore e spera sempre dentro le sue mani.;Ho messo tutto me stesso e tutto il mio passato. Ascoltare per credere. Ultimo si racconta, mostrandosi con autenticità, aprendosi in modo poco astratto e molto diretto. Questa canzone è un percorso, attraverso immagini che si cristallizzano nella mente proprio come vere polaroid. Ultimo ammette che vorrebbe essere ricordato come Niccolò, un ragazzo ancora incerto sul suo futuro, che sta lottando per far conoscere la propria musica. 
Peter Pan;2018;Buon viaggio;171;Fai buon viaggio e torna solo se hai un pretesto Gira il mondo, non importa in quanto tempo Fai buon viaggio e non temere, sarò onesto Sarò il vento che ti scrolla l’ansia di dosso Fai buon viaggio e butta quelle sigarette Perché meriti di vivere per sempre E corri forte tra i lampioni quando è sera Fai buon viaggio e torna quanto è primavera Io non so se domani tornerai Però so che ho lasciato dentro lei Solo un po’ della mia amara incomprensione Anche un po’ di risate col tuo odore Fai buon viaggio e non provare mai rancore Io aspetto a dirti mi mancano due ore E abbi cura dei tuoi occhi oggi che è festa Poi ritorna perché non posso fare senza Fai buon viaggio e custodisci il tuo giardino E tra le siepi lascia un posto per un pino E tra cent’anni sarà forte come il sogno Di te che torni e dici amore mio, buongiorno Io non so se domani tornerai Però so che ho lasciato dentro lei Solo un po’ della mia amara incomprensione Forse anche un po’ di risate col tuo odore;E’ sperare che qualcuno o qualcosa torni e nel frattempo sognare che sia già qui.   
