Album;annoAlbum;titoloCanzone;Secondi;testoCanzone;significatoTesto
Peter Pan;2018;Canzone stupida;236;Wuoh oh oh oh, wuoh oh oh, oh Wuoh oh oh, oh, wuoh oh oh oh Wuoh oh oh oh, wuoh oh oh, oh Wuoh oh oh, oh, oh Avessi avuto solo un briciolo di dignità Ti avrei mandata a fare in culo quattro mesi fa Quando mi hai detto: Mi piaci, ma non troppo E mi piaci, ma non voglio Mi piaci, ma non proprio Vorrei parlarti ma non so nemmeno io di che, eh, eh Vorrei parlarti ma non so nemmeno io perché, eh, eh Posso avere un momento? Per parlarti con sincerità In un tavolo al centro Tra la gente che viene e che va Canzone stupida Canzone stupida Come me, come quello che scrivo, oh Canzone stupida Canzone stupida Come te, come ogni tuo respiro Wuoh oh oh oh, wuoh oh oh oh Wuoh oh oh, oh, wuoh oh oh oh Avessi avuto solo un briciolo di dignità Ti avrei mandata a fare in culo un anno fa Quand'ho capito che hai il cervello di una zanzara E vuoi fare la colta universitaria Vorrei parlarti ma non so nemmeno io di che, eh, eh Vorrei parlarti ma non so nemmeno io perché, eh, eh Posso avere un momento? Per parlarti con sincerità In un tavolo al centro Tra la gente che viene e che va Canzone stupida Canzone stupida Come me, come quello che scrivo, oh Canzone stupida Canzone stupida Come te, come ogni tuo respiro Wuoh oh oh oh, wuoh oh oh oh Wuoh oh oh, oh, wuoh oh oh, oh Wuoh oh oh oh, wuoh oh oh oh Wuoh oh oh, oh Sì sono un poco sbadata E sì sono sempre ubriaca E tu mi stai sul cazzo quando parli in quel tuo modo Come fossi una principessa Com'è che invece sto al parchetto con 'sta gente, sempre la stessa? Posso avere un momento? Per parlarti con sincerità In un tavolo al centro Tra la gente che viene e che va Canzone stupida Canzone stupida Come me, come quello che scrivo, oh Canzone stupida Canzone stupida Come te, come ogni tuo respiro Wuoh oh oh oh, wuoh oh oh oh Wuoh oh oh, oh, wuoh oh oh oh, oh Wuoh oh oh oh, wuoh oh oh oh Wuoh oh oh, oh, wuoh oh oh oh;
Peter Pan;2018;La stella piu fragile dell'universo;226;Che poi mi piace anche quando non parli E canti sottovoce quei tuoi ritornelli Mentre tra le dita rinchiudi i capelli Comunque con te, comunque con te Quando mi dici mi vedo sbagliata Invece sei come io ti ho disegnata Tu che rimani anche appena sei andata Comunque con te, comunque con te Mi piacerebbe portarti in collina Vedere il mondo come si declina Portarti più in alto, più su delle nuvole Tu che profumi di sogni e di fragole Se riniziasse un’altra vita Non chiederei che fosse infinita Mi basterebbe sapere che esisti Che è lo stesso il profumo che indossi Se non mi conoscessi farei come ho fatto Dirti che ti aspetto in un posto perfetto Che poi io di perfetto non ho proprio niente Divento perfetto se ti ho tra la gente Comunque con te, comunque vada con te Comunque vada con te Comunque vada con te Comunque vada con te Sono pesante lo dico a me stesso Troppo romantico e prima o poi casco Ma me ne sbatto di tutta ‘sta gente Che non dà peso alle cose importanti Che poi l’amore se in fondo ci pensi è L’unico appiglio in un mondo di mostri E tu lo descrivi in un modo pazzesco Tu lo rinchiudi in un solo tuo gesto Mi piacerebbe lanciarti nel cielo Vedere il tuo corpo che pian piano sale Collocarti nel posto più giusto La stella più fragile dell’universo E se riniziasse un’altra vita Io non chiederei che fosse infinita Mi basterebbe sapere che esisti Che è lo stesso il profumo che lasci e Se non mi conoscessi farei come ho fatto Dirti che ti aspetto in un posto perfetto Che poi io di perfetto non ho proprio niente Divento perfetto se ti ho tra la gente Comunque con te, comunque vada con te Comunque vada con te Comunque vada con te Comunque vada con;La più bella canzone d’amore che io abbia mai scritto. Escono poche volte dalle mani parole cosi. È un urlo all’amore più intimo.  
Peter Pan;2018;Cascare nei tuoi occhi;226;Ehi Vorrei conoscerti quando al mattino Dirti la sera Ti prego spegni la luce   Vorrei svegliare con te il mio vicino Per il casino e non dargli mai pace Ma non è facile Neanche difficile Forse è impossibile Sicuro instabile Vorrei lasciare sul tuo comodino Un caffè caldo per ogni mattina Vedere che ti svegli all’improvviso e poi Chiudi gli occhi e fingi di dormire E non è facile Neanche difficile Forse è impossibile Sicuro instabile Ma poi mi parli dei tuoi drammi Dei tuoi genitori Che sono assenti e non li vedi Da anni migliori E poi mi parli di tuo padre quanto è stronzo a cena Che quando parli non ti guarda e non pone il problema Ed io che invece vorrei solo averti più vicino Cascare nei tuoi occhi e poi vedere se cammino Che sono grandi come i dubbi che mi fanno male Ma sono belli come il sole dopo un temporale E poi ti penserò E poi ti penserò E poi ti perderò E poi ti perderò Vorrei spiegarti che fuggire non serve Se nessun posto è abbastanza lontano Se nessun posto è abbastanza lontano da te e Vorrei parlarti ma non riesco mai a farlo E rovinare tutto quello che è stato Che a volte le parole sono un inganno Sono i rimorsi di chi se n’è andato E non è facile Neanche difficile Forse è impossibile Sicuro instabile Ma poi mi parli dei tuoi drammi Dei tuoi genitori Che sono assenti e non li vedi Da anni migliori E poi mi parli di tuo padre quanto è stronzo a cena Che quando parli non ti guarda e non pone il problema Ed io che invece vorrei solo averti più vicino Cascare nei tuoi occhi e poi vedere se cammino Che sono grandi come i dubbi che mi fanno male Ma sono belli come il sole dopo un temporale E poi ti penserò E poi ti penserò E poi ti perderò E poi ti perderò ;Il brano, come suggerisce il titolo, parla del desiderio di rientrare nel cuore della persona amata, perdendosi nella bellezza dei suoi occhi.
Peter Pan;2018;Poesia senza veli;218;E quando il mondo ti schiaccia provaci anche tu Tira fuori il bimbo che hai dentro, non nasconderlo più E ti ho portato due fiori, uno sono io e l'altro sei tu E vorrei essere anch'io bello come sei bella tu Ehi, sai è difficile restare calmi Sei la certezza in cui ripararmi La luce filtra tra gli alberi spogli Ma il sole è nulla in confronto ai tuoi occhi Tu sei la prima missione compiuta Sei il desiderio che muta è riuscita È una poesia senza veli Io vivo con i tuoi piedi Io vivo e grazie a te se sto in piedi E non ci credi? Prova ad aspettarmi nel fiore Più nascosto del mondo E sarò li prima di te Non è amore, è solo conoscerti a fondo Scusa il disordine, è che mi confondo Ma tu sei troppe cose insieme Non riesco a scrivere bene Non riesco e scrivo quello che viene E quando il mondo ti schiaccia provaci anche tu Tira fuori il bimbo che hai dentro, non nasconderlo più E ti ho portato due fiori, uno sono io e l'altro sei tu E vorrei essere anch'io bello come sei bella tu Woh oh oh, woh oh oh, woh, woh, oh, oh Woh oh oh, woh oh oh, woh, woh, oh, oh Ehi, qualcosa per i tuoi giorni Quando ti chiamo e ti chiedo Più o meno per che ora ritorni? E tu sei nel traffico e strilli Perché ti senti incastrata Però poi torni e sorridi Perché sai che in fondo è passata Io lo capisco Che a volte ti manca tuo padre Io nei tuoi occhi lo leggo Vorresti avere avuto un Natale Non tanto per un regalo Ma per sentirti un regalo Che per qualcuno vali E sei il diamante più raro Per me sei questo Per me sei questo e altro E non nascondere le lacrime Che tanto scendono in basso Tu falle cadere fino A che non diventano fango Poi ritorna in quel posto Ci sarà una rosa e sarà Maggio Vorrei che ti guardassi con i miei occhi Vorrei che ti ascoltassi con i miei sogni Sai la mia vita è soltanto un insieme di sogni E tu sei l'unica parte reale che voglio nei giorni, ehi E quando il mondo ti schiaccia provaci anche tu Tira fuori il bimbo che hai dentro, non nasconderlo più E ti ho portato due fiori, uno sono io e l'altro sei tu E vorrei essere anch'io bello come sei bella tu ;dichiarazione d’amore senza censure, senza veli appunto, vista con gli occhi di un bambino. Spiega Ultimo: Ho pensato, se fossi un bambino, come le direi che l’amore è in ogni cosa?
Peter Pan;2018;Il ballo delle incertezze;203;Ho perso tempo per guardarmi dentro e ho sistemato qualche mia abitudine ma poi la sera arrivava ed io mi chiedevo dov’è il senso se c’è un senso a tutto questo Ho perso tempo per guardarti dentro e ti ho dedicato il cuore tra le pagine ma poi la sera arrivava ed io mi chiedevo dov’è il senso se c’è un senso a tutto questo Senti non c’è bisogno di parlare dalla serranda scende il sole e noi ci siamo accontentati Ma ci sarà il ballo delle incertezze ci sarà un posto in cui perdo tutto che per stare in pace con te stesso e col mondo devi avere sognato almeno per un secondo E ci sarà tra la gente che aspetta chiunque ha rischiato tutto ed ha perso che per stare in pace con te stesso e col resto puoi provare a volare lasciando a terra te stesso Ho camminato in equilibrio su di me mischiando il tuo sorriso alle tue lacrime ma la coscienza non si spegne ed io mi chiedevo dov’è il senso se c’è un senso a tutto questo e Ho respirato sui tuoi battiti lenti e adesso vivi, sì ma dentro un’immagine ricordo c’era il vento ed io mi chiedevo dov’è il senso se c’è un senso a tutto questo E ci sarà il ballo delle incertezze ci sarà un posto in cui perdo tutto che per stare in pace con te stesso e col mondo devi avere sognato almeno per un secondo E ci sarà tra la gente che aspetta chiunque ha rischiato tutto ed ha perso che per stare in pace con te stesso e col resto puoi provare a volare lasciando a terra te stesso So di momenti quelli persi a dare un senso forse mi chiedi perché fragile sono diverso forse ero un bambino e stavo in cortile respiravo piano ho sempre rinchiuso vita e sogni nel palmo della mano Sono presente ancora oggi nel ballo delle incertezze dove ti siedi e più sei poco e più ti senti grande incontro me stesso e poi gli chiedo se vuole ballare ferma la musica che il silenzio adesso sa parlare E ci sarà il ballo delle incertezze ci sarà un posto in cui perdo tutto che per stare in pace con te stesso e col mondo devi avere sognato almeno per un secondo E ci sarà tra la gente che aspetta chiunque ha rischiato tutto ed ha perso che per stare in pace con te stesso e col resto puoi provare a volare lasciando a terra te stesso ;Quando ho scritto Il Ballo Delle Incertezze ho voluto puntare su chi è come me. È un brano che rappresenta chi non ha un domani nella società chi ha più domande che risposte chi ha perso rischiando. È il mio ennesimo attestato che tende la mano a chi è stato emarginato.
Peter Pan;2018;Peter Pan;226;Ho di nuovo invertito le rotte Il mondo corre ed io fermo distante Sognatore di grandi promesse Io ancora scappo dall’essere grande Ho provato a nuotare tra gli altri e Vivere il giorno tra impegni e ritardi Avere un ruolo fra i tanti di tutti Sentirmi parte di un gruppo. Vuoi volare con me? Vuoi volare con me? Vuoi volare con me? Vuoi volare con me? Come Peter Pan Peter Pan Peter Pan Peter Pan Peter Pan Come Peter Pan Mi sento appeso ad un filo lontano che Che se lo seguo non so dove arrivo e Ho chiesto al vento di essere bravo Portarmi altrove per sentirmi vivo Io provo a vivere quello che trovo ma poi Ma poi mi pento e ritorno di nuovo In questo posto in cui volano stelle E se alzi il braccio puoi prenderle tutte Qui dove non potrò perdere il sogno perché è troppo vero per essere distrutto Io no Io non ci torno ho giurato a fatica Io resto qui fino alla prossima vita Intanto volo e c’è un fiume qui sotto Mi porta verso il tuo atteso ritorno Ti segue e tu sei già pronta a volare Ti prendo siamo parte del mare Vuoi volare con me? Vuoi volare con me? Vuoi volare con me? Vuoi volare con me? Come Peter Pan Peter Pan Peter Pan Peter Pan Come Peter Pan Peter Pan Peter Pan Peter Pan Come Peter Pan;Peter Pan è un album che risalta le fragilità dell’uomo. Come sempre nelle mie canzoni racconta Ultimo sono i punti deboli quelli forti. Immaginatelo così: c’è un osservatore e il quadro. L’osservatore pian piano si avvicina al quadro, fino a ritrovarsi con l’occhio attaccato alla tela del disegno. Ed è proprio in quel momento, quando ha solo un colore davanti, che comprende il senso dell’opera. Ecco: quest’album ha il compito di zoommare , sulle cose già piccole della vita, fino a farle diventare piccolissime fino a farle diventare noi.
Peter Pan;2018;Dove il mare finisce;200;Vorrei sapere se c'è una parte che resta in questa parte di te È una vita che aspetto con in mano il perché È la strada più giusta quella senza di me Mentre l'anima scende vorrei sapere se c'è Una parte che resta In questa parte di noi Io vorrei solo averti anche col senno di poi È la strada più assurda questa senza di te Mentre il vuoto riempie E sai che non mi sento importante Anzi son fragile È la paura che insiste E sai che non ho un posto nel mondo Quindi cercarmi dove il mare finisce Wow oh oh, woh oh oh, woh oh oh Wow oh oh, woh oh oh, woh oh oh Vorrei sapere se c'è una frase da dire, sai è difficile Siamo biglie nel vento senza regole È la strada più giusta quella senza di me Mentre l'anima scende vorrei sapere perché Per la gente l'amore è un posto semplice Io che scappo da noi per ritrovare me È la strada più assurda quella senza di te Mentre il vuoto riempie E sai che non mi sento importante Anzi son fragile È la paura che insiste E sai che non ho un posto nel mondo Quindi cercarmi dove il mare finisce E non c'è un posto per te E non c'è un posto per noi Dimmi che aspetti la vita Che io stesso vorrei E non c'è un posto lo sai Resta un momento se vuoi Svuota il destino come un giorno che non tornerà mai Sai che non mi sento importante Anzi son fragile È la paura che insiste Sai che non ho un posto nel mondo Quindi cercarmi dove il mare finisce Wow oh oh, woh oh oh, woh oh oh Wow oh oh, woh oh oh, woh oh oh ;Cercare il più giusto brano leggero per la rotazione radiofonica estiva che potrebbe apprezzare Dove finisce il mare,
Peter Pan;2018;Le stesse cose che facevo con te;192;Le stesse che facevo con te Ora mi sembrano stupide Andare a bere di sera in quel posto isolato Che se c'eri tu affianco sembrava il mercato Sembrava il mercato Le stesse che facevo con te Ora lei vuole ripeterle Entra in macchina urlando le nostre canzoni Ed io che in silenzio sorrido e la guardo E poi mi sento un vigliacco perché Anche io le canto Per non farle capire che già penso ad altro Che già penso ad altro Ma lei mi sembra così stupida Eri te la vera musica E lei mi sembra così stupida Eri te la vera musica E lei mi sembra così stupida Eri te la vera musica Le stesse cose che facevo con te Ora mi sembrano stupide Lei che parla di tutto in quel modo formale E tu che a malapena sapevi parlare Lei che dice: Fumare fa male, è sbagliato Tu che mi reggevi quando ero ubriaco Lei che dice: Vorrei render fiero mio padre Tu invece piangevi per averlo incontrato Per averlo incontrato Ma lei mi sembra così stupida Eri te la vera musica E lei mi sembra così stupida Eri te la vera musica E lei mi sembra così stupida Eri te la vera musica Nanananana, na, nana Nanananana, na, nana E lei mi sembra così stupida Eri te la vera musica E lei mi sembra così stupida Eri te la vera musica;Le stesse cose che facevo con te in cui Ultimo vive il presente con lei mentre pensa al passato con te.
Peter Pan;2018;Ti dedico il silenzio;240;C'è un'aria strana stasera E torno a casa in silenzio Tra i rumori del traffico E il telefono spento E la gente mi guarda Ma non ho niente di vero Io che basta pensarti e già mi manca il respiro È da tempo che lo cerco questo tempo che mi manca È da tempo che sai penso che anche il tempo non mi basta So quanto costa per te Ma cerco solo un motivo Per sentirmi vivo e non è semplice So quanto pesano in te quelle paure lontane Meriti anche tu un posto da visitare, hm hm hm Hm hm hm hm C'è un'aria strana nel cielo Esco da casa in silenzio Non è ancora neanche l'alba, ma a dormire non ci penso Io cerco solo di capirti E la notte non ci dormo Se soltanto avessi pace saprei essere come loro È da tempo che lo cerco questo tempo che mi manca È da tempo che sai penso che anche il tempo non mi basta So quanto costa per te Ma cerco solo un motivo Per sentirmi vivo e non è semplice So quanto pesano in te quelle paure lontane Meriti anche tu Un posto da visitare E ti dedico il rumore Di queste inutili parole Un quadro senza il suo colore Che è andato via volare altrove Io ti dedico il silenzio, tanto non comprendi le parole Questa sera provo a farlo Questa sera io ti chiamo E tanto tu non mi rispondi E tanto poi se mi rispondi Dici che non siamo pronti Ed io so quanto costa per te Ma cerco solo un motivo Per sentirmi vivo e non è semplice So quanto pesano in te quelle paure lontane Meriti anche tu un posto da visitare Wouh oh oh, na na na na, na nai na, na nara nai nana Wouh oh oh, oh oh Meriti anche tu un posto da visitare;
Peter Pan;2018;Domenica;196;È già domenica, almeno qui dentro In questa casa in cui tu mi hai promesso Di essere sempre per sempre Sempre una parte di quello che in fondo non perdo È già domenica e non ce la faccio Guardo il soffitto e pian piano ci parlo Per te va sempre tutto bene Non ti accorgi delle crepe che si formano sulla parete Vorrei sapere che mi manca ora Ora che ho tutto quello che volevo Ma c'è qualcosa che mi manca ancora Forse riavere di te il desiderio E guarda amore, io ti dico Sono solo e triste, lo hai capito E tu rispondi: Aspetta, dopo un mese E sono dimagrita, non si vede Io: Sì dai forse un po' si vede Ma mi sento vuoto, che succede? Tu continui a dire che sei felice Ed io che in imbarazzo sposto il pied  No, non sei più parte di quello che c'è No, non sei più parte di quello che c'è È già domenica e sono già sveglio Ti sento e parli con le amiche ridendo Provo a chiamare Alessandro dal letto Ma è troppo presto e ha il telefono spento È ora di pranzo e mi alzo dal letto C'è il gatto, almeno lui sa cosa sento Tu esci dal bagno di corsa Dici: Stasera una pizza, c'è mia sorella che torna Vorrei sapere che mi manca ora Ora che ho tutto quello che volevo Ma c'è qualcosa che mi manca ancora Forse riavere di te il desiderio, ha E guarda amore io ti dico Sono solo e triste, lo hai capito E tu rispondi: Aspetta, dopo un mese E sono dimagrita, non si vede Io: Sì dai forse un po' si vede Ma mi sento vuoto, che succede? Tu continui a dire che sei felice Ed io che in imbarazzo sposto il piede No, non sei più parte di quello che c'è Oh no, non sei più parte di quello che c'è;
Peter Pan;2018;Vorrei soltanto amarti;187;Tu che respiri troppo in fretta E la paura non ti passa Resti sbagliata ma è lo stesso Tanto sai che poi rimango Abbiamo avuto troppe cose Per due che in fondo come noi Si sono spenti tempo fa Colpa di quello che non sai E mi resta un sogno dietro al cuore Dove si incontrano persone Io ho fatto quello che potevo E il tuo silenzio lo capivo Ma siamo biglie sulla sabbia Senza una direzione vera E seppure il vento la incoraggia Non torna mai la primavera Io vorrei soltanto amarti Io vorrei soltanto amarti Tra le nuvole e i diamanti Io vorrei soltanto amarti Io vorrei soltanto amarti Io vorrei soltanto amarti Tra le nuvole e i diamanti Io vorrei soltanto amarti E non c'è pace per noi due Ognuno con le crisi sue Tu che non sai mai cosa vuoi Io che non voglio ma vorrei E non c'è un modo per amarci A cena insieme ma distanti Le tue risposte sempre stanche Le mie reazioni poco calme Ma tu sei bella come il mondo Quando la notte prende sonno Io vorrei darti più di questo Più di quel poco che è rimasto Tu che indietreggi se io avanzo E poi ritorni quando scappo Siamo parole dette a caso Da un pazzo che non gli dà peso Io vorrei soltanto amarti Io vorrei soltanto amarti Tra le nuvole e i diamanti Io vorrei soltanto amarti Io vorrei soltanto amarti Io vorrei soltanto amarti Tra le nuvole e i diamanti Io vorrei soltanto amarti Oh oh Nai nai na, nai nai na na, na na Io vorrei soltanto amarti;
Peter Pan;2018;Il vaso;259;C'era una volta un vaso Viveva sopra il legno Ed io l'ho conosciuto E trattato da bimbo L'ho dipinto di azzurro Perché amavo le stelle E riempito di fiori Perché odiavo la morte Abbiamo sempre scherzato E preso in giro i passanti Così stolti e banali Chiusi nei loro ideali Ma cosa c'è di più bello Di un vaso che ti promette Di proteggere i fiori Che tu gli hai regalato Ah, ah ah, nanana, na, hm Ed un giorno quel vaso Con un soffio di vento Si ruppe e cadde per terra Io provai a ricomporlo Io credetti di farlo E all'inizio mi illusi Che sarebbe potuto Tornare come era prima In fondo tutto si aggiusta Basta solo aspettare Basta solo aspettare Basta solo morire Ma poi le piegature Io cominciai a notarl  E il vaso mi accusava Avrei dovuto fermare Quel il soffio di vento Che lo ha fatto cadere Lui non è più felice Ed io non riesco più ad amare Ah, ah ah, nanana, na na na E da questa esperienza Ho appreso una cosa Quando un vaso ti cade Prendi scopa e paletta Metti l'anima in pace Ah, ah ah, nanana, na na na na na Il vaso, na na na na, na Il vaso che ho dipinto di azzurro Il vaso che non è più come prima, no, no Che non è più come prima, no Il vaso non è più Il vaso non è più Il vaso non è più come prima Il vaso non è più come prima Non è più come prima, eh Il vaso non è più, eh E non è più come prima;
Peter Pan;2018;La casa di un poeta;217;La casa di un poeta Non ha quattro pareti La casa di un poeta Rispetta i suoi segreti La casa di un poeta È appesa ad una stella E cerca nuovi fogli Tra la noia e le scintille, hm La casa di un poeta A volte se ne va Se ne va ma poi ritorna Con una finestra in meno perché Perché fa male ad un poeta Guardare fuori dove tutto è com'è Il manichino che ci casca Maledetta la realtà Sono le piccole emozioni Le cose più importanti E voglio viverle da solo Per farle diventare grandi Hm hm, hm hm hm, hm La casa di un poeta E una luna nel deserto È un diamante in mezzo al fango È il segreto di un bugiardo, ah ah ah La casa di un poeta Sai devi entrarci per capirlo Capiresti che è da folli Restare in mezzo ad uno stagno, hm hm La casa di un poeta In fondo è solamente un'invenzione È la sera che confonde E nasconde questo sole Però la casa di un poeta È lo spazio che da luce Tra le foglie di una siepe, oh E il bisogno di volare Nai na, na nai, na na nai na nai na na, na Na nai, nai na na Sono le piccole emozioni Le cose più importanti E voglio viverle da solo Per farle diventare grandi;
Peter Pan;2018;Farfalla bianca;201;C'è una farfalla bianca che prova a nuotare Ha l'aria di chi sa che il mondo mente Vorrei darle di più di quel che posso dare Farle sentire più di quel che sente Hm hm, nai na, na Si posa una farfalla sulla spalla Oggi mi siedo e resto ad ascoltarla Poi dice che non è più tempo di parlare Che poi domani ha un'altra vita da incontrare Dice: Ti prego, mi porti al mare? Avrei solo bisogno di capire Se è giusto vivere quel che rimane Ed io ti porterei Io ti porterei In un posto dentro In un posto dentro E io ti porterei Io ti porterei In un posto dentro In quel posto dentro me Si posa una farfalla sulla spalla ed io Non posso darle altro se non un addio Che il suo destino è fragile come la forza Ma dice che oggi vola ed è li la ricchezza Rinchiude in un minuto vent'anni di cose Il tempo in fondo è quello che noi gli affidiamo Di quelle ali tra cent'anni chissà che rimane Mi dice: Lascio ai bimbi il sogno di volare Ma ora ti prego, mi porti al mare? Qualsiasi posto purché sia altrove Dove non servono più le parole Ed io ti porterei Io ti porterei In un posto dentro In un posto dentro E io ti porterei Io ti porterei In un posto dentro In quel posto dentro me, eh eh;
